scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1656,873.2344,481.22852,0.7866211,823.91406,472.03906,0.73876953,830.91797,505.99023,0.8232422,821.8906,493.40625,0.9423828,802.32715,492.58154,0.99560547,808.7344,463.3711,0.99658203,816.3086,513.1133,0.9975586,768.3535,494.6797,0.96777344,756.06006,520.1367,0.9248047,625.22656,565.77344,0.96240234
1657,873.0,481.4668,0.8071289,823.9492,472.0996,0.73828125,832.0508,505.10742,0.81640625,821.85547,493.26953,0.94189453,802.3301,492.4607,0.9975586,808.7656,463.33203,0.99560547,816.1133,513.10547,0.9970703,768.18945,494.97266,0.96875,756.04285,520.1992,0.9213867,625.2969,565.77246,0.9658203
1658,872.5781,482.00977,0.81591797,823.91797,472.11133,0.7324219,831.96094,505.01367,0.8095703,821.75,493.17773,0.93847656,802.2627,492.5083,0.9970703,808.71484,463.34766,0.99609375,815.9707,513.0879,0.99316406,768.1426,495.1211,0.97216797,756.0123,520.3242,0.9248047,625.30273,565.77246,0.96533203
1659,872.52344,481.89258,0.80859375,823.6172,472.11523,0.73535156,832.0156,504.97656,0.81347656,821.60547,493.14844,0.9428711,802.12695,492.71826,0.9995117,808.46094,463.33594,1.0,816.1758,513.084,0.99365234,768.0762,495.26953,0.97509766,756.03644,520.3242,0.9243164,625.34375,565.77344,0.96435547
1660,872.78125,481.2246,0.7817383,822.8379,472.91016,0.73046875,830.6328,505.9297,0.82373047,821.65625,493.16406,0.9472656,802.0322,492.854,0.99853516,808.3281,463.27344,1.0,816.1914,513.18945,0.99560547,767.96484,495.35938,0.9741211,756.0974,520.25977,0.92285156,625.5078,565.6797,0.9658203
1661,872.65625,481.51367,0.81396484,822.8711,472.9082,0.7368164,830.5156,505.90234,0.82666016,821.41797,493.14258,0.953125,802.1289,492.79248,0.9995117,808.34375,463.26562,1.0,816.3281,513.15625,1.0,767.9922,495.35938,0.9741211,756.07776,520.3418,0.92578125,625.40625,565.6924,0.9638672
1662,872.3008,481.91406,0.86279297,822.70703,472.9082,0.7402344,831.8574,504.73047,0.81884766,820.9883,493.09277,0.9472656,802.01855,492.73682,0.9941406,808.26953,463.32812,1.0,816.03906,513.0957,1.0,767.97266,495.3789,0.96972656,756.0882,520.4453,0.92822266,625.2383,565.7207,0.96435547
1663,871.9961,482.43262,0.9008789,822.209,472.76367,0.7524414,831.56055,504.67383,0.81933594,822.02344,492.15747,0.9526367,801.8301,492.8462,0.9926758,808.0508,463.29688,1.0,815.8926,512.98047,1.0,767.9883,495.44922,0.96972656,756.0763,520.5137,0.92822266,625.1738,565.6924,0.9658203
1664,872.0156,482.26367,0.91748047,821.99023,472.79102,0.75390625,831.25,504.73047,0.8276367,821.72363,492.1222,0.95703125,801.6875,492.83545,0.98583984,807.98047,463.3203,1.0,815.4863,512.94336,1.0,768.0469,495.30078,0.97021484,756.1012,520.56055,0.93066406,624.9707,565.7422,0.9628906
1665,872.3008,481.42578,0.8745117,822.291,472.5,0.74072266,831.5879,504.61328,0.81933594,822.08203,491.6814,0.9472656,801.75977,492.32886,0.9941406,807.875,463.16797,1.0,815.80273,512.6582,1.0,767.9961,495.0547,0.9667969,756.1537,520.4707,0.9301758,625.1094,565.6953,0.9604492
