scorer,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.1,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.2,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.3,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.4,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.5,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.6,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.7,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.8,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.9,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.10,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.11,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.12,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.13,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.14,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.15,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.16,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.17,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.18,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.19,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.20,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.21,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.22,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.23,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.24,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.25,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.26,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.27,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.28,DLC_Resnet50_TestBehaviourDec29shuffle1_snapshot_best-140.29
bodyparts,nose,nose,nose,leftEar,leftEar,leftEar,rightEar,rightEar,rightEar,neck,neck,neck,spineUpper,spineUpper,spineUpper,leftShoulder,leftShoulder,leftShoulder,rightShoulder,rightShoulder,rightShoulder,spineMid,spineMid,spineMid,spineLower,spineLower,spineLower,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,419.42212,595.99854,1.0,485.26236,598.29254,1.0,464.49014,570.4296,0.8817136,481.3365,575.81915,0.8749381,498.5376,549.97156,0.74534285,532.6485,561.01953,0.54545707,461.12787,542.255,0.6811746,514.20123,484.92142,0.73206586,451.5302,444.84903,0.8878697,363.82263,791.15295,0.5472218
9,413.18204,593.51715,0.9741152,475.6366,597.8753,0.9919115,456.64117,566.9048,0.8516314,472.98114,575.60406,0.9006325,493.3802,555.3962,0.7979172,531.8204,562.824,0.5791455,459.88293,541.41705,0.7057723,516.91986,484.85226,0.74944574,454.77118,444.651,0.87907636,1070.3779,87.97072,0.5253183
10,402.83188,596.6229,1.0,472.2639,599.84314,1.0,452.8502,567.11224,0.8730099,467.8143,578.56995,0.91776884,491.25323,557.468,0.8138213,507.86932,584.47614,0.5762124,457.19995,542.77167,0.7219785,516.9722,486.9905,0.8181942,457.13873,442.26462,0.9036958,363.7496,791.6197,0.580262
11,396.87167,601.1628,1.0,464.7171,600.9881,0.9884014,447.8472,567.4088,0.7723223,461.25607,579.8595,0.91267836,489.63614,563.1875,0.7790781,515.096,579.37476,0.5345367,452.07663,544.0512,0.74393857,517.36664,494.66132,0.66486895,457.67062,443.1677,0.7443207,363.42606,792.2634,0.6392995
12,389.8328,607.5209,1.0,458.69858,602.8882,0.9601773,440.0676,569.76013,0.70088404,456.0623,583.311,0.86179006,482.72488,567.42444,0.7486675,493.92908,592.9731,0.60129446,447.163,546.7035,0.6538738,516.42114,499.17422,0.74786395,459.94434,442.3328,0.82129806,363.8614,791.2431,0.53251296
13,384.70193,612.48663,0.94804555,452.31467,606.4515,1.0,437.42142,573.8596,0.89938486,449.53476,585.9301,0.84154296,476.97607,575.885,0.750184,485.39667,598.01953,0.60886425,442.95587,550.4122,0.5744716,516.13214,509.66693,0.62269413,464.02216,443.80054,0.78902924,363.69638,791.4659,0.55507064
14,382.1814,614.81836,0.973748,450.6095,608.1095,1.0,434.31625,576.8519,0.92634743,446.12787,587.156,0.79152554,474.5444,576.8831,0.7765647,484.30734,598.15125,0.59237075,440.85995,552.2364,0.5206943,514.1532,512.0242,0.66519785,468.19366,441.54175,0.77971077,363.0349,790.7791,0.54862124
15,382.21066,613.57166,0.9790442,450.65414,609.1251,1.0,435.58142,576.9844,0.9124946,446.98242,588.5137,0.77359855,474.8727,576.85583,0.79385424,485.1437,598.27985,0.56147707,440.86353,553.37823,0.5465156,515.84125,515.79254,0.7670364,472.9677,441.1671,0.8557572,363.2999,790.48883,0.58616805
16,383.84802,606.9212,0.92422885,452.829,608.0417,0.8637941,437.77444,576.57965,0.8096167,447.84085,589.6263,0.74400073,475.93115,576.1433,0.7529408,488.1956,597.5588,0.61904263,441.8096,553.0851,0.5254463,517.5196,515.1139,0.7465988,476.27994,438.67755,0.8354471,363.9206,791.173,0.6095989
17,388.28378,594.3626,0.9714652,453.99258,607.66644,0.7479915,447.1928,577.0282,0.5384913,452.80023,591.7431,0.96641356,482.2719,570.0249,0.58000237,492.747,598.86444,0.5623568,444.57388,550.8292,0.5199991,520.3036,513.0042,0.7321717,479.28357,438.3812,0.743895,364.12344,791.096,0.6377852
