"","leftEar_x","leftEar_y","leftEar_p","leftShoulder_x","leftShoulder_y","leftShoulder_p","neck_x","neck_y","neck_p","nose_x","nose_y","nose_p","rightEar_x","rightEar_y","rightEar_p","rightShoulder_x","rightShoulder_y","rightShoulder_p","spineLower_x","spineLower_y","spineLower_p","spineMid_x","spineMid_y","spineMid_p","spineUpper_x","spineUpper_y","spineUpper_p","tailBase_x","tailBase_y","tailBase_p"
"404",211.23125,565.57623,0.25971138,262.29022,581.87585,0.6667572,250.37573,580.6278,0.7240943,258.87988,565.1763,0.8424449,271.4246,545.65594,0.76294947,288.5026,563.55804,0.7703352,248.31502,535.8807,0.5443477,290.21198,521.19104,0.8625405,294.34464,492.7319,0.9302262,344.0976,338.17374,0.83389413
"405",212.6015,568.0868,0.3145339,262.82257,581.9053,0.7389818,251.225,580.6278,0.60763085,259.47122,565.01794,0.7628697,271.70496,545.35815,0.7681905,289.20178,563.3835,0.789561,248.66287,535.8807,0.5850481,290.3871,520.8161,0.8648409,293.9966,492.48526,0.9153921,344.37405,338.17374,0.84834224
"406",222.34251,585.27234,0.3936168,263.8706,582.8549,0.7467648,251.225,580.6278,0.54989266,265.14767,562.40686,0.8620289,273.99982,545.35815,0.79902375,291.15088,563.3234,0.8456239,251.04596,535.9915,0.57630944,290.66714,520.71014,0.840761,293.98083,492.14584,0.9060248,344.59943,338.1226,0.8612453
"407",222.34251,592.8255,0.35765967,265.66058,584.7716,0.79233813,250.71994,558.8084,0.6183524,265.14767,562.40686,0.86852044,275.7248,545.35815,0.8081645,292.8693,563.3217,0.8610464,251.58444,535.9915,0.58487207,292.1804,520.71014,0.8475111,293.93997,491.977,0.9005567,345.02737,337.97214,0.8735201
"408",219.61354,594.16583,0.73568624,266.67773,584.78735,0.9325269,250.71994,558.8084,0.64713967,265.14767,562.40686,0.81914043,275.7248,545.7045,0.87007964,293.44867,563.3217,0.83823854,251.58444,536.7082,0.5905038,292.18677,520.7459,0.85212594,293.93997,491.9127,0.90407294,345.33548,337.4348,0.87009406
"409",219.61354,599.8653,0.9348991,266.67773,584.9692,0.9475293,246.44597,558.8084,0.76706743,262.80777,563.44324,0.87239224,275.7248,546.0926,0.956434,293.44867,563.3835,0.8928066,251.58444,536.8121,0.6589993,292.19116,520.8161,0.88752156,293.98083,491.9127,0.9091761,345.33548,337.0407,0.86945814
"410",219.61354,606.0466,0.8129603,266.67773,585.87555,0.8749815,245.6891,562.78937,0.9496334,261.56754,565.76855,0.9217141,275.3306,547.4141,1,293.44867,563.4074,0.9095562,250.23956,537.56555,0.80108356,292.19116,520.94586,0.9000833,293.9922,491.9127,0.9072943,345.42038,336.7827,0.8612327
"411",219.61354,613.2805,0.870726,265.73782,587.9955,0.8857235,242.02626,567.8803,0.94664663,259.01462,567.5039,0.89976656,272.69482,549.44525,0.9272833,292.20145,565.72345,0.93977684,247.91896,539.60205,0.7619636,292.18677,520.94586,0.894293,294.22076,492.10916,0.92915773,345.42038,336.5152,0.85541767
"412",227.04657,621.44775,0.8895695,265.73782,591.27686,0.96504617,239.43318,575.6702,0.8734321,256.7539,571.91516,0.9484401,269.51526,551.27576,0.805348,290.9617,567.41156,0.96439725,245.77417,543.4954,0.7047076,291.39606,520.7459,0.90755856,294.7016,492.3879,0.95155907,345.29977,336.499,0.8604257
"413",236.25136,637.7506,0.94490904,265.73782,596.26636,0.9178328,239.43318,584.60547,0.9006529,256.7539,577.78326,0.99341464,263.65863,555.2341,0.9188308,290.9617,567.718,0.9129187,244.24811,545.3718,0.75726897,289.65048,521.0406,0.8710465,295.08316,492.45743,0.94440436,345.22772,335.7762,0.8662961
"414",242.84927,638.5908,0.9414359,268.9557,597.366,1,239.43318,590.3424,0.902466,256.7539,579.99744,0.91120833,263.65863,556.6312,0.89796317,290.9617,568.34766,0.9262578,243.77159,546.91534,0.8269216,286.2701,521.0406,0.860828,295.3469,492.69012,0.94012797,345.2051,335.68933,0.86412543
"415",250.94144,639.9301,0.7886141,271.6163,600.94794,0.9448581,241.96776,596.453,0.9700805,259.6164,584.5081,1,263.65863,559.89215,0.8716165,291.91147,568.8198,0.881879,243.77159,551.0762,0.88316566,284.085,521.0406,0.8076684,295.3469,492.72226,0.93618536,344.96713,335.68243,0.8589345
"416",266.80878,640.6516,0.8580587,276.62714,604.3355,0.93393755,246.92429,602.95447,0.95519555,263.57837,589.9327,0.9557726,263.923,562.2989,0.8984805,291.9144,568.8198,0.9390652,243.77159,555.61285,0.8188223,282.85492,522.4396,0.7492949,295.3469,492.72226,0.95112383,344.7472,335.68243,0.8629967
"417",278.89587,640.6516,0.84566575,280.93106,605.7944,0.9443045,252.10582,609.7413,0.98541856,266.24295,592.9386,0.9984319,266.86984,564.9121,0.8485879,293.41507,569.51935,0.93737584,243.85483,559.4538,0.86686254,282.52408,522.50946,0.79619753,295.29178,492.69012,0.93911636,344.7472,335.59155,0.88148654
"418",294.79175,640.6516,0.7956799,285.91122,605.7944,0.93369526,257.69598,611.98413,0.99290097,269.87146,594.29584,0.99673116,268.08063,566.77606,0.82958436,294.4533,569.51935,0.89039606,245.1523,566.3741,0.9571341,282.2423,523.1296,0.8036503,294.8306,492.54504,0.9470958,344.7472,335.59155,0.88370365
"419",310.8468,637.68774,0.8304582,293.71527,605.7944,1,271.66522,620.6993,0.9685703,276.7606,600.3688,1,269.99374,573.05914,0.8167162,296.14053,569.66693,0.9801741,246.93552,574.46106,0.9557197,280.60922,525.1636,0.7383109,294.0173,492.09204,0.91504914,344.78305,335.59155,0.9082499
"420",324.9407,631.8223,0.8578138,303.5417,603.858,0.93214214,282.59003,620.6993,0.98406136,287.66058,601.8785,0.851899,275.2902,578.4967,0.7233514,299.94525,569.51935,0.91960186,250.75719,581.327,1,277.12164,526.6602,0.74253124,292.237,491.5403,0.8584008,345.10764,337.44705,0.9656105
"421",337.32352,624.6555,0.8305391,313.078,600.466,0.9106425,294.2525,620.6993,1,296.93094,601.8785,0.93060774,281.10355,582.27356,0.7004833,304.55267,569.66693,0.8864313,253.35022,584.30994,0.98414683,273.3051,531.48157,0.7726572,289.62592,490.15405,0.83748466,348.0832,337.44705,1
